MP_ID;Name;DateBirth;Place of Birth:;Date of Death (yyyy-mm-dd):;Profession | Occupation:;Years of Service:;MP;Senator;Notes;MP.1;MP.2;Language Preference:;Cause of Death:;birthyear
13134;AntChisholm Abbott;1930-11-26;Montreal, Quebec, Canada;2023-03-23;lawyer;1779 days [ 4 year(s), 10 month(s), 14 day(s) ];(1974-07-08 - 1979-05-21);;;;;;;1930
15802;Willie Adams;1934-06-22;Fort Chimo, Quebec, Canada;;electrician, businessman;11767 days [ 32 year(s), 2 month(s), 18 day(s) ];;(1977-04-05 - 2009-06-22);Of Inuit origin.;;;;;1934
14267;Peter Adams;1936-04-17;Ellesmere Port, United Kingdom;2018-09-28;professor;4473 days [ 12 year(s), 2 month(s), 29 day(s) ];(1993-10-25 - 2006-01-22);;;;;;;1936
3761;Douglas Charles Abbott;1899-05-29;Lennoxville, Quebec, Canada;1987-03-15;lawyer;5210 days [ 14 year(s), 3 month(s), 6 day(s) ];(1940-03-26 - 1949-06-26);;;(1949-06-27 - 1953-08-09);(1953-08-10 - 1954-06-30);;;1899
16376;Agar Rodney Adamson;1901-11-08;Toronto, Ontario, Canada;1954-04-08 (Died in Office);mining engineer;5127 days [ 14 year(s), 14 day(s) ];(1940-03-26 - 1954-04-08);;;;;;;1901
14156;Alan Joseph Adamson;1857-08-01;Clifton, County Galway, Ireland;1928-04-04;banker;1453 days [ 3 year(s), 11 month(s), 22 day(s) ];(1904-11-03 - 1908-10-25);;;;;;;1857
17890;John Hollings Addison;1929-12-18;Toronto, Ontario, Canada;2010-02-23;business executive, businessman;2199 days [ 6 year(s), 8 day(s) ];(1962-06-18 - 1968-06-24);;;;;;;1929
1331;Michael Adams;1845-08-13;Douglastown, New Brunswick, Canada;1899-01-02 (Died in Office);lawyer;2861 days [ 7 year(s), 9 month(s), 30 day(s) ];(1891-03-05 - 1896-01-06);(1896-01-07 - 1899-01-02);;;;;;1845
2003;Diane Ablonczy;1949-05-06;Peoria, Illinois, United States;;farmer, lawyer, teacher;8029 days [ 21 year(s), 11 month(s), 24 day(s) ];(1993-10-25 - 1997-06-01);;;(1997-06-02 - 2015-10-18);;;;1949
17878;Eve Adams;1974-11-07;Sudbury, Ontario, Canada;;public servant, community activist;1631 days [ 4 year(s), 5 month(s), 18 day(s) ];(2011-05-02 - 2015-10-18);;;;;;;1974
4700;John Hollings Addison;1929-12-18;Toronto, Ontario, Canada;2010-02-23;business executive, businessman;2199 days [ 6 year(s), 8 day(s) ];(1962-06-18 - 1968-06-24);;;;;;;1929
14025;Jim Abbott;nan;;;;;;;;;;;;0
18421;Ziad Aboultaif;1966-09-10;Aiha, Beqaa, Lebanon;;business owner;2860 days [ 7 year(s), 9 month(s), 29 day(s) ];(2015-10-19 -  );;;;;English, French, Arabic;;1966
8200;John Joseph Caldwell Abbott;1821-03-12;St. Andrews, Lower Canada;1893-10-30 (Died in Office);professor, lawyer, dean;7471 days [ 20 year(s), 5 month(s), 14 day(s) ];(1867-09-20 - 1874-10-06);(1887-05-12 - 1893-10-30);Of Irish origin.;(1880-02-12 - 1881-07-13);(1881-08-17 - 1887-02-21);;cancer;1821
14709;Ziad Aboultaif;1966-09-10;Aiha, Beqaa, Lebanon;;business owner;2860 days [ 7 year(s), 9 month(s), 29 day(s) ];(2015-10-19 -  );;;;;English, French, Arabic;;1966
